mouse_ID,mean_location__Neck.x,mean_location__Neck.y,mean_angle,mean_distance_nose_to_tail,mean_distance,median_speed,iqr_speed,s_in_roi,s_in_roi_ang_dir,sus_res
2283,613.9131971614593,457.11445763341374,52.980434243885455,128.33672477152743,473.1849763824864,1.057335346003481,2.359520447368089,45.17851184517851,23.65699032365699,sus
2284,644.9186575443938,566.3387353962389,47.9838066086604,138.06936902947783,524.3974261862796,0.868350914865677,2.2166983063900823,26.843510176843512,14.464464464464465,res
2286,681.1041918488356,506.1623362396011,49.01343248873295,135.5335250550507,506.7459684022126,1.250197512320684,2.301870247007052,35.15181848515182,12.495829162495829,sus
2287,540.8918581679033,392.45246133728114,49.107592692469815,117.840363445136,431.43620460201504,0.8527374267579262,2.317678868172151,53.11978645311979,30.78078078078078,sus
2288,733.5827674387956,476.0391169600324,48.92654838870273,143.40893451833753,487.3984721542008,1.0284265589291994,2.482641635162991,31.7650984317651,17.26726726726727,sus
2289,596.2884135428094,521.6867360880274,51.73616112554038,123.5501337995728,533.8289274557478,0.9197672282363664,2.3391321773312352,25.87587587587588,13.113113113113114,sus
2290,609.8789149368503,411.1678983389485,49.23135373474248,139.66356422719562,394.2955626151255,1.1541201906802243,2.577348580626978,52.23556890223557,24.174174174174176,res
2291,693.3492741041982,665.5386904305878,50.95355076937182,130.53873684695728,634.8185973493246,0.4118338430927117,1.826244280666772,6.306306306306307,1.951951951951952,sus
2296,688.5639479584327,446.377958613586,47.631940250939735,128.6082270868711,485.2370786315584,0.910478181903039,2.384249280002675,31.58158158158158,14.364364364364365,res
2301,653.3850345712434,400.787009047294,46.07531409845308,134.81947155878993,400.11662500665,1.0247727989599218,2.36254038912149,59.075742409075744,30.48048048048048,res
2478,646.2271147594457,679.7085660992311,53.41316696640028,146.5297201702251,664.2356339318271,0.9748394390681998,2.604769856617696,14.5311978645312,4.437771104437771,res
2479,573.8644510423643,447.5970836324079,50.7789729129245,154.53312999084096,498.0018784720993,0.8882603954308459,2.5120081802746306,42.47580914247581,17.784451117784453,sus
2480,647.8815765932944,457.7963653753436,48.29438387435175,135.20699384076525,484.4606342993694,1.0300671451064982,2.4535903965191705,50.417083750417085,20.30363697030364,sus
2481,827.4567703642024,632.1294595562845,44.77615263299592,167.5021506487979,591.9641964310648,0.923713764696191,2.702236273231825,21.438104771438105,8.742075408742076,sus
2513,673.084648083486,564.9704950153745,48.74486077969729,156.50185281848647,560.4047475320211,1.2506210938783702,2.543485344103355,24.741408074741408,12.74607941274608,sus
2514,746.7753606680009,514.5463150304704,52.36234303308638,137.14140170578312,532.549782706817,1.087847824624138,2.383826810531607,50.26693360026694,22.48915582248916,
2515,642.1165568784124,554.2195003232417,47.958001687543394,147.1333098095529,575.5438208273983,0.940372036249452,2.4594813797268,45.52886219552887,22.27227227227227,res
2537,712.9754657485245,485.6254645330873,45.54569309074558,142.03333187929036,489.76877388498406,1.1007984310546206,2.4552302565600166,54.75475475475476,28.8621955288622,res
2539,833.0237282578606,641.5947528884765,45.88989698601353,145.2606497670513,630.7626241357881,1.1093798311449683,2.52162793631068,38.65532198865533,16.700033366700033,res
2542,651.716301522811,606.9529538853999,46.74432839155303,155.18678077163466,594.3834450949955,0.9745873330394677,2.5141327551121924,43.76042709376043,21.388054721388052,res
