track,mouse_ID,mean_distance
bl6,2283,473.18497638248635
bl6,2284,524.3974261862796
bl6,2286,506.7459684022126
bl6,2287,431.43620460201504
bl6,2288,487.3984721542008
bl6,2289,533.8289274557478
bl6,2290,394.2955626151255
bl6,2291,634.8185973493246
bl6,2296,485.23707863155835
bl6,2301,400.11662500665
bl6,2478,664.2356339318271
bl6,2479,498.0018784720993
bl6,2480,484.4606342993694
bl6,2481,591.9641964310648
bl6,2513,560.4047475320211
bl6,2514,532.549782706817
bl6,2515,575.5438208273983
bl6,2537,489.76877388498406
bl6,2539,630.7626241357881
bl6,2542,594.3834450949955
