mouse_ID,mean_location_Neck.x,mean_location_Neck.y,mean_angle,mean_distance_nose_to_tail,mean_distance,median_speed,iqr_speed,s_in_roi,s_in_roi_ang_dir,sus_res
2283,611.8603570990975,426.9042687057348,49.73230787812828,121.80529882093104,448.7239347132872,0.9798781763690774,2.283714337614743,45.17851184517851,23.65699032365699,sus
2284,677.3066646728649,494.9559096492863,46.73836581145716,124.6668871962324,488.30752796777847,0.6997229600356469,2.049084360516724,26.843510176843512,14.464464464464465,res
2286,635.8898067717714,504.8896963758926,48.78473071209539,126.03462340376714,500.28125027042944,1.0586880006314503,2.296371097527396,35.15181848515182,12.495829162495829,sus
2287,557.1756633716169,362.9341729716054,48.40106216652188,114.7122394642846,407.6136931205928,0.7127712581571406,2.2766354910551705,53.11978645311979,30.78078078078078,sus
2288,640.962704691654,465.9430916505504,47.30922027705756,132.1901692486367,475.8773087107863,1.0589172549308206,2.4264357416576243,31.7650984317651,17.26726726726727,sus
2289,623.1772513341338,494.95478327097055,50.23419135318443,116.78011050591626,499.3127397074287,0.6998480964555723,2.109410833137025,25.87587587587588,13.113113113113114,sus
2290,665.9631720776606,380.0074013178431,46.48469638890918,125.66140164323257,385.2232903468752,0.955280169588355,2.4397910722996543,52.23556890223557,24.174174174174176,res
2291,746.5361114154553,680.1360357635303,51.39982605858498,117.77231890244838,657.8711019900787,0.1651888925771575,1.4647134135733937,6.306306306306307,1.951951951951952,sus
2296,706.1074808609942,401.784071182397,46.53661819057931,118.89235874753857,460.3281703161469,0.737830312648819,2.133849280703548,31.58158158158158,14.364364364364365,res
2301,637.2656519084684,401.8417978790223,46.69726955612161,123.63973053875628,411.6411671333496,0.828304494402611,2.248774241368998,59.075742409075744,30.48048048048048,res
2478,708.4977919095631,609.0143341789463,51.43286024563116,139.09983046748928,600.120767429408,0.6493828307076024,2.53890799349054,14.5311978645312,4.437771104437771,res
2479,666.3577025632108,414.2382454484032,48.50487370277215,137.72788513862787,456.6817080891662,0.7579141298294294,2.448748534343407,42.47580914247581,17.784451117784453,sus
2480,699.8617648851804,407.875852336036,48.07959768171692,125.45180166453432,442.5431937382393,0.8709814385564032,2.4196129015593257,50.417083750417085,20.30363697030364,sus
2481,792.9682302042822,539.2303189299886,44.35936923380467,162.48309520434304,513.7472356391519,0.9515316619213516,2.652241892492607,21.438104771438105,8.742075408742076,sus
2513,746.3216766931389,554.4941061622395,48.54895600403197,136.86905149573494,562.143301939095,1.0812136671597266,2.4429025575214123,24.741408074741408,12.74607941274608,sus
2514,751.537807245586,424.8573206474852,47.14913890609034,125.89536716550454,457.9555027921031,0.949595281489902,2.4131318919593685,50.26693360026694,22.48915582248916,
2515,726.3126967757796,479.4259396753173,47.64751461102711,133.2834020169403,502.82270196256616,0.8640266123312571,2.461519668007157,45.52886219552887,22.27227227227227,res
2537,680.1858440219595,415.5595911315921,47.34842063330622,133.25968712467753,439.3085597970252,1.0482621572718926,2.5359319478262243,54.75475475475476,28.8621955288622,res
2539,818.2546962733003,487.603067768968,48.37731862389214,135.94609785692973,502.5508217528388,0.9652715809607512,2.463973249291387,38.65532198865533,16.700033366700033,res
2542,725.9502411727805,471.2722833333853,45.88664923849158,140.00137991912675,466.4505185199706,0.8855395703793134,2.4842459813323337,43.76042709376043,21.388054721388052,res
