mean_fh_Neck.x,mean_fh_Neck.y,mean_sh_Neck.x,mean_sh_Neck.y,mouse_ID
619.2704259215395,499.48550566166864,604.4502882766556,354.32303174980086,2283
686.618363047716,543.4304385153774,667.994966298014,446.48138078319516,2284
651.0938376339847,509.02259147969625,620.6857759095581,500.7568012720889,2286
552.708261360662,356.59289719787876,561.6430653825718,369.275448745332,2287
726.6429687177773,500.0553857985436,555.2824406655308,431.8307975025571,2288
608.5939210907667,550.1734150468228,637.7605815775007,439.7361514951183,2289
648.4153760028106,410.7453003508689,683.5109681525107,349.26950228481735,2290
642.1056352792414,635.5298103344268,850.9665875516691,724.7422611926339,2291
694.1106710203198,441.5912468377788,718.1042907016686,361.9768955270152,2296
614.677570289313,360.78520871257655,659.8537335276236,442.898387045468,2301
706.7856693158735,668.5622056565828,710.2099145032528,549.46646270131,2478
608.0267432733511,442.89235708402003,724.6886618530704,385.58413381278643,2479
667.1898794749001,449.87381009975826,732.5336502954607,365.8778945723138,2480
828.6352713232884,612.9979149583044,757.3011890852761,465.4627229016728,2481
729.0117412723217,543.5969305772693,763.631612113956,565.3912817472096,2513
741.7990119386967,455.9614577782191,761.2766025524752,393.75318351675116,2514
691.2452911665615,496.85413887151475,761.3801023849977,461.9977404791198,2515
692.8614629736253,481.03971779467093,667.5102250702938,350.0794644685134,2537
826.2191081686897,581.0733829805414,810.2902843779108,394.13275255739455,2539
694.2877345691418,541.7513088783503,757.6127477764192,400.79325778842025,2542
