track,mouse_ID,mean_fh_distance,mean_sh_distance
bl6,2283,508.324078055355,389.1237913712192
bl6,2284,519.971702175488,456.6433537600689
bl6,2286,499.0097598545366,501.55274068632235
bl6,2287,384.68632285803915,430.5410633831464
bl6,2288,506.9205895375884,444.834027883984
bl6,2289,548.1325078396649,450.4929715751926
bl6,2290,405.58845133578257,364.8581293579679
bl6,2291,618.5785197763424,697.1636842038151
bl6,2296,475.8262634459017,444.83007718639203
bl6,2301,372.80196674713403,450.4803675195649
bl6,2478,655.3511424968921,544.8903923619242
bl6,2479,479.6235869195531,433.73982925877937
bl6,2480,485.0396733961857,400.046714080293
bl6,2481,572.8018319182602,454.69263936004376
bl6,2513,540.2790743427379,584.0075295354519
bl6,2514,480.2949894324771,435.616016151729
bl6,2515,516.9073037221228,488.7381002030094
bl6,2537,485.08118214949315,393.5359374445575
bl6,2539,592.2207012058205,412.88094229985705
bl6,2542,535.4386121073198,397.46242493262145
