track,mouse_ID,mean_location__Neck.x,mean_location__Neck.y
bl6,2283,611.4023486511281,390.2116948663278
bl6,2284,711.5090245074383,238.94747872232034
bl6,2286,687.3950316653579,294.5195969954965
bl6,2287,506.71906047332413,558.6932247784046
bl6,2288,506.71906061535515,558.6932249713122
bl6,2289,737.5011755330393,379.1501948141197
bl6,2290,652.7838571351845,366.0676301202035
bl6,2291,713.2983378086795,386.5919846632508
bl6,2296,657.9589004622595,331.52820927078574
bl6,2301,515.522931852815,346.7906749488977
bl6,2478,846.7413361833704,684.6567916785323
bl6,2479,763.7272635866346,305.2422814114629
bl6,2480,713.3364543863411,458.9663319229116
bl6,2481,946.4493718212199,524.7476626653478
bl6,2513,764.999212448913,540.9896069034069
bl6,2514,773.086148731839,272.78741163861656
bl6,2515,753.1321668526834,282.4930561942238
bl6,2537,805.2534398966347,311.69192392317973
bl6,2539,752.9013732333553,342.8112521943996
bl6,2542,775.9662638688359,458.8816557012687
