track,mouse_ID,mean_distance,median_speed,iqr_speed
bl6,2283,4.759036185503872,1.0573353460034807,2.3579216116442554
bl6,2284,3.085327345003856,0.87106017245396,2.209698382941693
bl6,2286,4.55835507650126,1.248985533932438,2.3027476833736484
bl6,2287,3.7550420139840757,0.859898036146495,2.303001830625865
bl6,2288,3.6553638959190202,1.0124003081679513,2.46051587687675
bl6,2289,4.113871629066896,0.918513210106406,2.35042926927568
bl6,2290,4.112086613519009,1.157141325895541,2.5724091311139343
bl6,2291,2.4143794251957136,0.40042397678678554,1.8058102795615434
bl6,2296,3.506814178196634,0.9096463635061467,2.343415814674703
bl6,2301,4.412641768551206,1.02972412109375,2.366265349556733
bl6,2478,3.304110112747054,0.9666677012344909,2.611992600950842
bl6,2479,3.663897076033097,0.9386830878836734,2.5100594868279926
bl6,2480,4.315134068288881,1.027550851184186,2.455186546530399
bl6,2481,3.6595374473629163,0.9408743365657993,2.699632322707693
bl6,2513,4.623260594128803,1.2622554871803675,2.5277817994704845
bl6,2514,5.357216388293885,1.062861462394574,2.3691649178660272
bl6,2515,4.7962171871854,0.9878990669919547,2.453420072020672
bl6,2537,5.531517638606252,1.130602377499505,2.4420298389097477
bl6,2539,5.265362949799265,1.0812744548385744,2.4984102122589102
bl6,2542,3.3316722794072153,1.022142420926511,2.5246053434600957
