mouse_ID,mean_location_Neck.x,mean_location_Neck.y,s_in_roi,s_in_roi_ang_dir,mean_angle,mean_distance_nose_to_tail,mean_distance_x,mean_distance_y,median_speed,iqr_speed,sus_res
2283,668.227503281335,311.7369384024216,82.94961628294962,37.92125458792125,43.56705990389459,121.80529882093104,305.0457839454873,2.485355706949105,0.2685070774513063,1.6693428157507295,sus
2284,729.2962676668528,324.65212692967805,63.71371371371372,25.15849182515849,42.61767568284799,124.6668871962324,340.8166265423778,2.019105423616825,0.2018383228306879,1.5827320760205017,res
2286,696.176091861107,351.07823417481785,88.60527193860527,43.17650984317651,43.79709171857046,126.03462340376714,298.9808334038329,2.888307336578903,0.2172070182611487,1.634152445508957,sus
2287,605.7391751365708,476.3186777156128,41.458124791458125,21.88855522188856,41.68374628158183,114.7122394642846,460.5139337521723,2.231583943596512,0.2494278899080216,1.6662445067462797,sus 
2288,605.6948499485835,476.3145876539202,41.458124791458125,21.838505171838506,41.74468276362895,132.1901692486367,460.52465164135606,2.291261242987418,0.25724259206991,1.674408475371628,sus
2289,656.5948520960734,334.09728727322897,84.03403403403404,37.97130463797131,44.205868836237535,116.78011050591626,291.6691060035086,2.289937865274265,0.1591244124847652,1.541837359175597,sus
2290,674.5266056088018,302.5452673298292,90.82415749082416,53.67033700367034,43.35094432642612,125.66140164323257,278.01626475684554,2.3908476855223046,0.2416340604789666,1.6591726070457402,res
2291,617.3378454953763,310.7435371760834,44.17751084417751,21.90523857190524,39.22370011455015,117.77231890244838,358.1894831557953,1.764317453030458,0.0803060793882355,1.2536988966948963,sus
2296,643.0171698103939,343.52284363746327,83.68368368368368,43.71037704371038,44.347969077014845,118.89235874753857,352.7127442358648,2.753693259104458,0.2122802734375,1.6094820632851907,res
2301,590.5211879713052,336.42704922906574,81.53153153153154,49.8998998998999,39.527845298781,123.63973053875628,323.9245389592832,3.8331740808497368,0.1504740467015997,1.4886681312092347,res
2478,735.328525908891,594.198116345006,42.22555889222557,22.722722722722725,50.50192442055079,139.09983046748928,548.9955616987311,2.6757374105354983,0.281757708519744,1.8434062137441856,res
2479,756.2876701652382,391.58288583371177,78.69536202869537,43.493493493493496,47.11548151464287,137.72788513862787,375.0460660074321,2.68262483074401,0.1265735089863828,1.539164068244253,sus
2480,733.6072342741617,487.9746481435836,45.24524524524525,24.808141474808146,46.59078697613644,125.45180166453432,476.7139566650815,6.493908422637364,0.183469678503922,1.6585234963854174,sus
2481,846.4934166644059,444.74164259602605,51.918585251918586,25.74240907574241,43.65639614220091,162.48309520434304,381.5809656564956,2.5433338786918886,0.2230414439062435,1.8111291093242952,sus
2513,738.8473346006914,465.5456502802799,46.78011344678011,21.05438772105439,45.79691974441789,136.86905149573494,458.77038648392977,3.597690387981412,0.6063872937423409,2.321043919349953,sus
2514,778.83883114747,251.71511657813696,105.9225892559226,49.43276609943277,39.979611926525976,125.89536716550454,225.5313045960272,6.946627991824614,0.1027485529300695,1.3710722525919452,
2515,799.6712375639612,316.54735878399543,86.50316983650318,47.96463129796463,45.23149724170724,133.2834020169403,323.79662960185414,3.365909899094343,0.3208921508320299,1.957188005459336,res
2537,754.5761979374205,338.6281739058264,90.42375709042376,44.57791124457791,43.87610890786782,133.25968712467753,319.86885605599576,5.594543304966173,0.1601887143362262,1.6812286014712488,res
2539,733.832299311755,345.56076421870665,78.24491157824491,40.67400734067401,44.68350907010742,135.94609785692973,336.80883783490776,4.4770111739273775,0.1416737294925584,1.650136178518017,res
2542,772.115203222407,441.5953643076687,57.9245912579246,31.548214881548216,45.79884233986432,140.00137991912675,436.6752242882511,3.2668348426316407,0.521414982799818,2.2034681393706266,res
