track,mouse_ID,mean_angle
bl6,2283,43.56705990389459
bl6,2284,42.61767568284799
bl6,2286,43.79709171857046
bl6,2287,41.683746281581826
bl6,2288,41.74468276362895
bl6,2289,44.205868836237535
bl6,2290,43.35094432642612
bl6,2291,39.22370011455015
bl6,2296,44.347969077014845
bl6,2301,39.527845298780996
bl6,2478,50.501924420550786
bl6,2479,47.11548151464287
bl6,2480,46.590786976136435
bl6,2481,43.65639614220091
bl6,2513,45.79691974441789
bl6,2514,39.979611926525976
bl6,2515,45.23149724170724
bl6,2537,43.87610890786782
bl6,2539,44.68350907010742
bl6,2542,45.798842339864315
