mouse_ID,mean_location_fh_Neck.x,mean_location_fh_Neck.y,mean_location_sh_Neck.x,mean_location_sh_Neck.y,s_in_roi,s_in_roi_ang_dir,mean_angle_fh_angle,mean_angle_sh_angle,mean_distance_fh_distance_nose_to_tail,mean_distance_sh_distance_nose_to_tail,mean_fh_distance,mean_sh_distance,fh_mean_distance,fh_median_speed,fh_iqr_speed,sh_mean_distance,sh_median_speed,sh_iqr_speed,sus_res
2283,628.6913454997102,390.3688711697993,707.7549794297182,233.12227219911225,82.94961628294962,37.92125458792125,46.37127137053409,40.76346420613227,125.82685101251823,117.78374662934384,362.1906383749898,247.91347779319815,2.839327587732136,0.408202806907342,1.9087222885469688,2.1314615538517976,0.1768299224885702,1.494285522025826,sus
2284,716.2962439017796,347.0627146686744,742.2934367934182,302.2464602683582,63.71371371371372,25.15849182515849,42.57225791072195,42.6630834818137,132.36714707052946,116.9666273219353,338.75565813930126,342.8771423832225,1.8978557103973783,0.1940877152829152,1.604011403731163,2.140328511954142,0.2141773496550163,1.562067632797458,res
2286,681.0480506372484,331.7097567401822,711.3008111611133,370.4424585401881,88.60527193860527,43.17650984317651,41.98501203871334,45.60877348896779,132.42506423213464,119.70041170719344,249.5959905061163,348.3548320233549,2.781226595371325,0.2324744208766938,1.6485077751093933,2.995364564228903,0.2046813964846023,1.6029795430732503,sus
2287,520.2600042811075,495.5950160136517,691.1995758622897,457.0465722542663,41.458124791458125,21.88855522188856,42.09104427821866,41.2765377223619,116.95419150974912,112.47028741882004,452.89997998299714,468.1262155947403,2.187017912359377,0.2854860263797567,1.7102596997280155,2.2761401887046966,0.2137151015534902,1.6192363564442092,sus
2288,520.1735063699898,495.5811092478088,691.1974141368439,457.05229674110194,41.458124791458125,21.838505171838506,42.23702953921018,41.25244410108584,140.6003483189597,123.77999017831364,452.9257000291745,468.1219346212117,2.3067169341092537,0.2947935089878832,1.7224093849208943,2.275808945737152,0.2172287958778376,1.625279318711245,sus
2289,686.5613212962478,343.5996889046934,626.6349631482486,324.5969722473051,84.03403403403404,37.97130463797131,43.61008655314899,44.80152029317694,124.685537166776,108.87468384505652,298.7060057080532,284.6337515118989,2.050072748867629,0.167396902146808,1.4951182467010051,2.529750310377343,0.1529982115882218,1.620113093415732,sus
2290,648.6781537369951,322.1769893084048,700.3693814920551,282.9178562256449,90.82415749082416,53.67033700367034,41.599390511934445,45.10211352216187,135.0385091068641,116.28429417960096,301.4637426961885,254.57393558297017,2.661309220304852,0.2936338878723266,1.7559255850076896,2.1204455406244267,0.2013778686523437,1.5846600940008058,res
2291,645.026083091838,347.4649910754014,589.6556878808198,274.0301468371298,44.17751084417751,21.90523857190524,39.96626692183756,38.48129636541103,127.8678668782776,107.75671807293016,379.44722418015016,336.9364100587624,1.6431216392888377,0.0915281076183127,1.2198442711212052,1.8854866537255823,0.069313614227395,1.2809588406159742,sus
2296,643.3095935207394,295.91398729022296,642.7248103125451,391.1212456903805,83.68368368368368,43.71037704371038,43.850923653804536,44.84490535542429,126.47850627886032,111.31455497724994,291.9363273471893,413.4758154027817,2.222183944197956,0.1930315049022546,1.5172157287594388,3.285085861381424,0.2400508208934044,1.738530565090521,res
2301,542.5814359896581,311.70408223095814,638.450412998191,361.14458738066514,81.53153153153154,49.8998998998999,35.95911547922142,43.0957914710372,130.78306067418376,116.55454013386348,306.1290824196082,341.7160878449092,2.6844919429276106,0.1769814083679293,1.4901844328300622,4.981603982904949,0.1231281601206304,1.4869870032798442,res
2478,813.349849705117,627.8675565583455,657.3243345948338,560.5360695089643,42.22555889222557,22.722722722722725,51.281813914581015,49.72220618025223,144.21840303411736,133.9812579008612,585.7918003933597,512.2074029862488,2.6926209473032867,0.2487034109405295,1.844594971111042,2.658857581175872,0.3129382158582101,1.8423811911644323,res
2479,813.476023747113,276.2641789042345,699.1118744124327,506.8762702539818,78.69536202869537,43.493493493493496,47.90479730860507,46.32633904430693,148.3717981236907,127.08397215356509,249.08373190076068,500.9807404008608,2.0106582218755364,0.1170708847984771,1.5067504229827469,3.3544438843624027,0.1365803124562505,1.5707350574206886,sus
2480,745.785684342178,440.1700145353623,721.4314584376051,535.768784467306,45.24524524524525,24.808141474808146,43.44825866406155,49.73262522929343,131.39253885201376,119.52413253070098,421.2833406345674,532.1324008431515,5.6783677870647296,0.1144663485814694,1.4709630236500963,7.309269975944828,0.2549455734063537,1.9041265344760288,sus
2481,932.3639587697264,546.5980005052727,760.6417306289371,342.90765103678143,51.918585251918586,25.74240907574241,41.08478333511364,46.22744425609383,168.72071713231634,156.2454732763697,480.7004422761418,282.48325440281747,2.628819892899296,0.2082979845144017,1.7510782785577523,2.457866636116938,0.2432332838984772,1.8846053743952849,sus
2513,723.0427647889537,490.29514931658457,754.6484339315743,440.8015859165786,46.78011344678011,21.05438772105439,44.63954817567729,46.95403716920402,151.46814046846418,122.33097939288731,478.76965616071175,438.7755083903003,3.179474607778867,0.450200316507843,2.185832082661244,4.015814333361778,0.7666084524824353,2.3829104565684,sus
2515,782.229496839202,360.1415744264545,817.1091483061283,272.962715872244,86.50316983650318,47.96463129796463,45.26285685386121,45.200144515721945,140.7978606947946,125.93920054186188,361.5983299123059,286.00323006002554,3.74405034255569,0.2566258214915202,2.021797709844057,2.9878524904251487,0.3837667173978571,1.910129241209773,res
2537,777.8477704647005,346.5680941856748,731.3097355490355,330.68999713065074,90.42375709042376,44.57791124457791,44.85317479439817,42.89925757247636,139.83541360138784,126.7693033365123,346.6216401094622,293.1219465708328,4.2097915861914,0.1519000446742384,1.6025457389115163,6.97899095002141,0.1720460986792694,1.7921558576081824,res
2539,747.2142681856615,436.1055807234716,720.4532689466045,255.0358301945093,78.24491157824491,40.67400734067401,45.85943289732387,43.50784346068351,141.68646475360245,130.205730960257,423.8012591860372,249.83551890392567,4.423586634873908,0.2634264437092124,1.8644287245266755,4.5304239816371785,0.0718666540332964,1.407821603541742,res
2542,776.5684719609345,393.3697084145784,767.6629123645861,489.8104304651655,57.9245912579246,31.548214881548216,44.77897628556545,46.81848444465629,150.42780743349255,129.70109704032845,402.85875505143457,470.4842678620821,3.046166134944829,0.4399871826171875,2.0094723010595894,3.4874550943000764,0.607278649106283,2.3554035312773705,res
