track,mouse_ID,mean_angle_fh_angle,mean_angle_sh_angle
bl6,2283,46.37127137053409,40.76346420613227
bl6,2284,42.57225791072195,42.6630834818137
bl6,2286,41.98501203871334,45.60877348896779
bl6,2287,42.09104427821866,41.2765377223619
bl6,2288,42.237029539210184,41.25244410108584
bl6,2289,43.61008655314899,44.80152029317694
bl6,2290,41.599390511934445,45.10211352216187
bl6,2291,39.96626692183756,38.481296365411026
bl6,2296,43.850923653804536,44.84490535542429
bl6,2301,35.95911547922142,43.0957914710372
bl6,2478,51.281813914581015,49.72220618025223
bl6,2479,47.90479730860507,46.326339044306934
bl6,2480,43.44825866406155,49.732625229293426
bl6,2481,41.08478333511364,46.227444256093825
bl6,2513,44.63954817567729,46.95403716920402
bl6,2514,41.53603741089141,38.423528213237475
bl6,2515,45.26285685386121,45.200144515721945
bl6,2537,44.85317479439817,42.89925757247636
bl6,2539,45.85943289732387,43.50784346068351
bl6,2542,44.77897628556545,46.81848444465629
