track,mouse_ID,mean_location_fh_Neck.x,mean_location_fh_Neck.y,mean_location_sh_Neck.x,mean_location_sh_Neck.y
bl6,2283,628.6913454997102,390.3688711697993,707.7549794297182,233.12227219911222
bl6,2284,716.2962439017796,347.0627146686744,742.2934367934182,302.2464602683582
bl6,2286,681.0480506372484,331.7097567401822,711.3008111611133,370.4424585401881
bl6,2287,520.2600042811075,495.59501601365173,691.1995758622897,457.0465722542663
bl6,2288,520.1735063699898,495.5811092478088,691.1974141368439,457.05229674110194
bl6,2289,686.5613212962478,343.5996889046934,626.6349631482486,324.5969722473051
bl6,2290,648.6781537369951,322.1769893084048,700.3693814920551,282.9178562256449
bl6,2291,645.026083091838,347.4649910754014,589.6556878808198,274.0301468371298
bl6,2296,643.3095935207394,295.91398729022296,642.7248103125451,391.12124569038053
bl6,2301,542.5814359896581,311.70408223095814,638.450412998191,361.14458738066514
bl6,2478,813.349849705117,627.8675565583455,657.3243345948338,560.5360695089643
bl6,2479,813.476023747113,276.2641789042345,699.1118744124327,506.87627025398183
bl6,2480,745.785684342178,440.17001453536227,721.4314584376051,535.768784467306
bl6,2481,932.3639587697264,546.5980005052727,760.6417306289371,342.90765103678143
bl6,2513,723.0427647889537,490.29514931658457,754.6484339315743,440.80158591657863
bl6,2514,778.5418224003769,243.66372776555147,779.1357746752511,259.7647374089894
bl6,2515,782.229496839202,360.14157442645455,817.1091483061283,272.96271587224396
bl6,2537,777.8477704647005,346.5680941856748,731.3097355490355,330.68999713065074
bl6,2539,747.2142681856615,436.1055807234716,720.4532689466045,255.0358301945093
bl6,2542,776.5684719609345,393.3697084145784,767.6629123645861,489.8104304651655
