mouse_ID,session,s_in_roi,s_in_roi_ang_dir
2283,2,82.94961628294962,37.921254587921254
2284,2,63.713713713713716,25.158491825158492
2286,2,88.60527193860527,43.17650984317651
2287,2,41.458124791458125,21.888555221888556
2288,2,41.458124791458125,21.838505171838506
2289,2,84.03403403403404,37.97130463797131
2290,2,90.82415749082416,53.67033700367034
2291,2,44.17751084417751,21.90523857190524
2296,2,83.68368368368368,43.71037704371038
2301,2,81.53153153153154,49.8998998998999
2478,2,42.225558892225564,22.722722722722725
2479,2,78.69536202869537,43.493493493493496
2480,2,45.24524524524525,24.808141474808142
2481,2,51.918585251918586,25.74240907574241
2513,2,46.78011344678011,21.05438772105439
2514,2,105.92258925592259,49.43276609943277
2515,2,86.50316983650318,47.96463129796463
2537,2,90.42375709042376,44.57791124457791
2539,2,78.24491157824491,40.67400734067401
2542,2,57.9245912579246,31.548214881548216
