cohort;trial_number;mouse_id;session;;;predicted with sleap;;export csv;frame nr.;comments;;scripts
coh_7;1;2480;1;;;;;;1;;;
coh_7;2;2480;2;;;;;;1;;;
coh_7;3;2478;1;;;;;;1;;;
coh_7;4;2478;2;;;;;;1;;;
coh_7;5;2539;1;;;;;;1;;;
coh_7;6;2539;2;;;;;;1;;;
coh_7;7;2542;1;;;;;;1;;;
coh_7;8;2542;2;;;;;;1;;;
coh_7;9;2515;1;;;;;;1;;;
coh_7;10;2515;2;;;;;;1;;;
coh_7;11;2514;1;;;;;;1;;;
coh_7;12;2514;2;;;;;;1;verklickt, gefixt:);;
coh_7;13;2513;1;;;;;;1;ab frame 5000 andere farbe gelabelt, mit maja korrigiert;;
coh_7;14;2513;2;;;;;;1;;;
coh_7;15;2537;1;;;;;;1;;;
coh_7;16;2537;2;;;;;;1;;;
coh_7;17;2479;1;;;;;;1;;;
coh_7;18;2479;2;;;;;;1;;;
coh_7;19;2481;1;;;;;;1;;;
coh_7;20;2481;2;;;;;;1;;;
